landmark_name,image_url,cluster1,cluster2,cluster3
32.05,landmark/32.05/2.jpg,2,2,2
32.05,landmark/32.05/3.jpg,2,3,2
Altes Tramdepot,landmark/Altes Tramdepot/1.jpg,3,0,3
Altes Tramdepot,landmark/Altes Tramdepot/3.jpg,2,1,2
Ambasada,landmark/Ambasada/1.jpg,1,2,2
Arsenał,landmark/Arsenał/2.jpg,2,1,1
Atlantis Water Adventure,landmark/Atlantis Water Adventure/1.jpg,2,0,1
Atlantis Water Adventure,landmark/Atlantis Water Adventure/3.jpg,2,0,3
Atze Peng,landmark/Atze Peng/3.jpg,1,1,0
Baja Brewing Company,landmark/Baja Brewing Company/1.jpg,2,0,1
Baja Brewing Company,landmark/Baja Brewing Company/2.jpg,2,1,1
Baywalk Mall,landmark/Baywalk Mall/1.jpg,0,1,3
Beach,landmark/Beach/2.jpg,2,2,2
Beach,landmark/Beach/3.jpg,2,1,3
Bistronomy,landmark/Bistronomy/1.jpg,1,2,2
Bistronomy,landmark/Bistronomy/2.jpg,1,2,1
Bistronomy,landmark/Bistronomy/3.jpg,1,1,1
Bogota Beer Company,landmark/Bogota Beer Company/2.jpg,3,1,3
Boston,landmark/Boston/3.jpg,3,3,1
Bowe's Lounge,landmark/Bowe's Lounge/3.jpg,2,2,3
Brodarica beach,landmark/Brodarica beach/1.jpg,0,2,2
Brodarica beach,landmark/Brodarica beach/2.jpg,2,1,3
Brodarica beach,landmark/Brodarica beach/3.jpg,0,3,1
Buitenhof,landmark/Buitenhof/1.jpg,2,0,2
Buitenhof,landmark/Buitenhof/2.jpg,2,3,1
Buitenhof,landmark/Buitenhof/3.jpg,2,1,0
Carmen,landmark/Carmen/1.jpg,3,3,0
Carmen,landmark/Carmen/3.jpg,1,3,3
Casa de la Gastronomia Peruana,landmark/Casa de la Gastronomia Peruana/1.jpg,1,1,3
Casa de la Gastronomia Peruana,landmark/Casa de la Gastronomia Peruana/2.jpg,3,3,3
Casa de la Gastronomia Peruana,landmark/Casa de la Gastronomia Peruana/3.jpg,1,1,2
Casa E,landmark/Casa E/1.jpg,1,2,3
Casa E,landmark/Casa E/2.jpg,3,1,2
Casa E,landmark/Casa E/3.jpg,1,2,3
Cava Baja,landmark/Cava Baja/1.jpg,0,0,0
Cava Baja,landmark/Cava Baja/2.jpg,0,1,0
Cerveceria Nacional,landmark/Cerveceria Nacional/1.jpg,1,2,1
Cerveceria Nacional,landmark/Cerveceria Nacional/2.jpg,1,3,2
Cerveceria Nacional,landmark/Cerveceria Nacional/3.jpg,3,1,1
Cerveceria Truf,landmark/Cerveceria Truf/1.jpg,3,3,0
Cerveceria Truf,landmark/Cerveceria Truf/2.jpg,3,0,3
Cerveceria Truf,landmark/Cerveceria Truf/3.jpg,3,1,2
Citra XXI,landmark/Citra XXI/1.jpg,3,1,3
Citra XXI,landmark/Citra XXI/2.jpg,3,0,1
City marine,landmark/City marine/1.jpg,2,2,2
City marine,landmark/City marine/2.jpg,2,3,2
City marine,landmark/City marine/3.jpg,0,1,3
Conservatorio Nacional de Musica - Sede Historica,landmark/Conservatorio Nacional de Musica - Sede Historica/1.jpg,3,3,0
Conservatorio Nacional de Musica - Sede Historica,landmark/Conservatorio Nacional de Musica - Sede Historica/2.jpg,3,1,2
Cossab,landmark/Cossab/1.jpg,3,2,0
Cossab,landmark/Cossab/2.jpg,3,3,0
Cossab,landmark/Cossab/3.jpg,1,2,1
De Golfslag Beachclub,landmark/De Golfslag Beachclub/1.jpg,2,3,2
De Golfslag Beachclub,landmark/De Golfslag Beachclub/2.jpg,1,2,1
De Golfslag Beachclub,landmark/De Golfslag Beachclub/3.jpg,1,2,0
De Munt,landmark/De Munt/1.jpg,3,0,0
De Munt,landmark/De Munt/2.jpg,3,0,3
De Munt,landmark/De Munt/3.jpg,2,0,3
De Scheldekaaien,landmark/De Scheldekaaien/1.jpg,2,2,1
De Scheldekaaien,landmark/De Scheldekaaien/2.jpg,2,1,1
De Scheldekaaien,landmark/De Scheldekaaien/3.jpg,2,1,1
Dhiffushi Bandharu,landmark/Dhiffushi Bandharu/1.jpg,1,2,0
