id,landmark_name,country
0,산 마르코 광장,Italy
1,밀라노 중앙역,Italy
2,산타 마리아 델 포폴로 성당,Italy
3,칼차이우올리 거리,Italy
4,산타 마르게리따 광장,Italy
5,산타루치아 항구,Italy
6,두오모,Italy
7,페기 구겐하임 미술관,Italy
8,산 프란체스코 성당,Italy
9,해골사원,Italy
10,퀴리날레 궁전,Italy
11,Anggrek XXI,Indonesia
12,Mal Artha Gading,Indonesia
13,Atlantis Water Adventure,Indonesia
14,Pluit Junction XXI,Indonesia
15,Baywalk Mall,Indonesia
16,Pejaten Village,Indonesia
17,Citra XXI,Indonesia
18,Pluit Village XXI,Indonesia
19,Kalibata XXI,Indonesia
20,Sunter Mall,Indonesia
21,BLOWFISH Kitchen & Bar,Indonesia
22,Phap Lam Pagoda,Vietnam
23,Odev,Vietnam
24,Bãi Biển An Bàng (An Bang Beach),Vietnam
25,Louisiane Brewhouse,Vietnam
26,더 무스 & 루 레스토랑,Vietnam
27,Lăng Tự Đức,Vietnam
28,Điện Thái Hòa (Palace of Supreme Harmony),Vietnam
29,Thanh Ha Pottery Village,Vietnam
30,Vinpearl Cable Car,Vietnam
31,더 울프하운드 아이리쉬 펍,Vietnam
32,누 이터리,Vietnam
33,Hulhumale' BBQ Beach,Maldives
34,Maa Kandu,Maldives
35,Hulhumale' Main Road,Maldives
36,Alimas Ufaa Carnival Stage Area,Maldives
37,Maafannu Buru,Maldives
38,Swimming Pool @ Sheraton Maldives,Maldives
39,Maafushi Jetty,Maldives
40,Dhiffushi Bandharu,Maldives
41,Sunset Park,Maldives
42,Banana Reef,Maldives
43,Recreation Beach,Maldives
44,푸르비에르 노틀담 성당,France
45,죄 드 폼 국립미술관,France
46,바르비종,France
47,파리 동역,France
48,자드킨 미술관,France
49,루소의 아틀리에,France
50,오데옹 극장,France
51,테로 광장,France
52,코메디 프랑세즈,France
53,Galerie des Glaces,France
54,Place de la Cathédrale,France
55,제타 바,Malaysia
56,쑨얏센 박물관,Malaysia
57,메실라우 리조트,Malaysia
58,위스키 바,Malaysia
59,재패니즈 빌리지,Malaysia
60,모이스,Malaysia
61,앤션트 타이,Malaysia
62,술탄 압둘 사마드 빌딩,Malaysia
63,얍초이 하우스,Malaysia
64,레게 바,Malaysia
65,아친 스트리트 모스크,Malaysia
66,Kafe Szalet,Poland
67,Ambasada,Poland
68,Kuźnia Dobrych Klimatów,Poland
69,Alive,Poland
70,Mosaiq,Poland
71,유대교 회당,Poland
72,Miodosytnia,Poland
73,Arsenał,Poland
74,Das Lokal,Poland
75,Włodkowica 21,Poland
76,Cherry Club,Poland
77,Fuglereden,Denmark
78,Cph Cocktail,Denmark
79,Atze Peng,Denmark
80,Buddha Bar,Denmark
81,Viggos Vinstue,Denmark
82,The First Lady,Denmark
83,The Globe Irish Pub,Denmark
84,Nørreport Bodega,Denmark
85,Café Guldhornene,Denmark
86,Hornsleth Bar,Denmark
87,Barcelona,Denmark
88,Amazonia,Luxembourg
89,Lux Golf Center,Luxembourg
90,Patinoire,Luxembourg
91,Monument Grand-Duchesse Charlotte,Luxembourg
92,Place l'Europe,Luxembourg
93,Parc Tony Neuman,Luxembourg
94,Place De L'etoile,Luxembourg
95,Place Du Parc,Luxembourg
96,Place du Theatre,Luxembourg
97,Skatepark Hollerich,Luxembourg
98,Tennis Spora,Luxembourg
99,Lira Bar Galeria,Chile
100,La picá de los Cuñados,Chile
101,Bar Don Rodrigo,Chile
102,Restaurant Yungay Viejo,Chile
103,Peperone,Chile
104,Cervecería Trüf,Chile
105,Santo Remedio,Chile
106,Cervecería Nacional,Chile
107,Cascarrabia Boutique Ristorante,Chile
