id,landmark_id,landmark_name,image_url,cluster1,cluster2,cluster3
0,0,32.05,landmark/32.05/2.jpg,2,3,3
1,0,32.05,landmark/32.05/3.jpg,3,1,2
2,1,Altes Tramdepot,landmark/Altes Tramdepot/1.jpg,3,1,2
3,1,Altes Tramdepot,landmark/Altes Tramdepot/3.jpg,3,0,0
4,2,Ambasada,landmark/Ambasada/1.jpg,1,3,1
5,3,Arsenał,landmark/Arsenał/2.jpg,1,2,3
6,4,Atlantis Water Adventure,landmark/Atlantis Water Adventure/1.jpg,0,0,1
7,4,Atlantis Water Adventure,landmark/Atlantis Water Adventure/3.jpg,1,1,2
8,5,Atze Peng,landmark/Atze Peng/3.jpg,1,1,0
9,6,Baja Brewing Company,landmark/Baja Brewing Company/1.jpg,2,2,1
10,6,Baja Brewing Company,landmark/Baja Brewing Company/2.jpg,2,0,0
11,7,Baywalk Mall,landmark/Baywalk Mall/1.jpg,1,3,0
12,8,Beach,landmark/Beach/2.jpg,1,1,3
13,8,Beach,landmark/Beach/3.jpg,1,0,0
14,9,Bistronomy,landmark/Bistronomy/1.jpg,1,2,3
15,9,Bistronomy,landmark/Bistronomy/2.jpg,1,0,0
16,9,Bistronomy,landmark/Bistronomy/3.jpg,2,3,3
17,10,Bogota Beer Company,landmark/Bogota Beer Company/2.jpg,2,1,0
18,11,Boston,landmark/Boston/3.jpg,1,2,0
19,12,Bowe's Lounge,landmark/Bowe's Lounge/3.jpg,1,1,2
20,13,Brodarica beach,landmark/Brodarica beach/1.jpg,0,2,3
21,13,Brodarica beach,landmark/Brodarica beach/2.jpg,3,0,2
22,13,Brodarica beach,landmark/Brodarica beach/3.jpg,0,2,0
23,14,Buitenhof,landmark/Buitenhof/1.jpg,3,3,2
24,14,Buitenhof,landmark/Buitenhof/2.jpg,0,3,1
25,14,Buitenhof,landmark/Buitenhof/3.jpg,2,1,0
26,15,Carmen,landmark/Carmen/1.jpg,1,1,1
27,15,Carmen,landmark/Carmen/3.jpg,2,0,0
28,16,Casa de la Gastronomia Peruana,landmark/Casa de la Gastronomia Peruana/1.jpg,3,1,1
29,16,Casa de la Gastronomia Peruana,landmark/Casa de la Gastronomia Peruana/2.jpg,2,3,3
30,16,Casa de la Gastronomia Peruana,landmark/Casa de la Gastronomia Peruana/3.jpg,1,2,1
31,17,Casa E,landmark/Casa E/1.jpg,1,1,3
32,17,Casa E,landmark/Casa E/2.jpg,0,2,2
33,17,Casa E,landmark/Casa E/3.jpg,1,1,3
34,18,Cava Baja,landmark/Cava Baja/1.jpg,2,0,0
35,18,Cava Baja,landmark/Cava Baja/2.jpg,2,1,2
36,19,Cerveceria Nacional,landmark/Cerveceria Nacional/1.jpg,1,1,1
37,19,Cerveceria Nacional,landmark/Cerveceria Nacional/2.jpg,2,1,2
38,19,Cerveceria Nacional,landmark/Cerveceria Nacional/3.jpg,2,1,2
39,20,Cerveceria Truf,landmark/Cerveceria Truf/1.jpg,3,1,2
40,20,Cerveceria Truf,landmark/Cerveceria Truf/2.jpg,3,1,2
41,20,Cerveceria Truf,landmark/Cerveceria Truf/3.jpg,1,1,3
42,21,Citra XXI,landmark/Citra XXI/1.jpg,1,1,2
43,21,Citra XXI,landmark/Citra XXI/2.jpg,2,0,0
44,22,City marine,landmark/City marine/1.jpg,2,1,0
45,22,City marine,landmark/City marine/2.jpg,3,1,2
46,22,City marine,landmark/City marine/3.jpg,2,3,2
47,23,Conservatorio Nacional de Musica - Sede Historica,landmark/Conservatorio Nacional de Musica - Sede Historica/1.jpg,1,3,0
48,23,Conservatorio Nacional de Musica - Sede Historica,landmark/Conservatorio Nacional de Musica - Sede Historica/2.jpg,3,1,1
49,24,Cossab,landmark/Cossab/1.jpg,0,0,2
50,24,Cossab,landmark/Cossab/2.jpg,0,1,3
51,24,Cossab,landmark/Cossab/3.jpg,3,1,0
52,25,De Golfslag Beachclub,landmark/De Golfslag Beachclub/1.jpg,3,0,1
53,25,De Golfslag Beachclub,landmark/De Golfslag Beachclub/2.jpg,2,2,0
54,25,De Golfslag Beachclub,landmark/De Golfslag Beachclub/3.jpg,2,2,1
55,26,De Munt,landmark/De Munt/1.jpg,2,1,2
56,26,De Munt,landmark/De Munt/2.jpg,2,1,3
57,26,De Munt,landmark/De Munt/3.jpg,1,2,3
58,27,De Scheldekaaien,landmark/De Scheldekaaien/1.jpg,0,1,1
59,27,De Scheldekaaien,landmark/De Scheldekaaien/2.jpg,2,3,3
60,27,De Scheldekaaien,landmark/De Scheldekaaien/3.jpg,2,3,3
61,28,Dhiffushi Bandharu,landmark/Dhiffushi Bandharu/1.jpg,1,1,1
62,28,Dhiffushi Bandharu,landmark/Dhiffushi Bandharu/3.jpg,2,2,1
63,29,Dresdner Zwinger,landmark/Dresdner Zwinger/1.jpg,1,2,2
64,29,Dresdner Zwinger,landmark/Dresdner Zwinger/2.jpg,3,2,0
65,29,Dresdner Zwinger,landmark/Dresdner Zwinger/3.jpg,1,1,1
66,30,Drunk Sinatra,landmark/Drunk Sinatra/3.jpg,3,1,3
67,31,Edible Canada at the Market,landmark/Edible Canada at the Market/1.jpg,1,3,2
68,31,Edible Canada at the Market,landmark/Edible Canada at the Market/2.jpg,2,1,0
69,32,Einstein-Haus,landmark/Einstein-Haus/2.jpg,2,1,3
70,32,Einstein-Haus,landmark/Einstein-Haus/3.jpg,3,0,1
71,33,El Squid Roe,landmark/El Squid Roe/1.jpg,3,3,3
72,33,El Squid Roe,landmark/El Squid Roe/2.jpg,3,3,3
73,34,Erasmus Corner,landmark/Erasmus Corner/1.jpg,1,2,3
74,34,Erasmus Corner,landmark/Erasmus Corner/2.jpg,1,2,1
75,34,Erasmus Corner,landmark/Erasmus Corner/3.jpg,0,1,3
76,35,Fame,landmark/Fame/3.jpg,2,1,2
77,36,Filmstaden Soder,landmark/Filmstaden Soder/1.jpg,1,0,1
78,36,Filmstaden Soder,landmark/Filmstaden Soder/2.jpg,1,3,1
