id,landmark_name,country
0,32.05,Russia
1,Altes Tramdepot,Switzerland
2,Ambasada,Poland
3,Arsenał,Poland
4,Atlantis Water Adventure,Indonesia
5,Atze Peng,Denmark
6,Baja Brewing Company,Mexico
7,Baywalk Mall,Indonesia
8,Beach,Bahamas
9,Bistronomy,Colombia
10,Bogota Beer Company,Colombia
11,Boston,Iceland
12,Bowe's Lounge,Ireland
13,Brodarica beach,Croatia
14,Buitenhof,Netherlands
15,Carmen,Sweden
16,Casa de la Gastronomia Peruana
17,Casa E,Colombia
18,Cava Baja,Spain
19,Cerveceria Nacional
20,Cerveceria Truf
21,Citra XXI,Indonesia
22,City marine,Croatia
23,Conservatorio Nacional de Musica - Sede Historica
24,Cossab,Argentina
25,De Golfslag Beachclub,Netherlands
26,De Munt,Belgium
27,De Scheldekaaien,Belgium
28,Dhiffushi Bandharu,Maldives
29,Dresdner Zwinger,Germany
30,Drunk Sinatra,Greece
31,Edible Canada at the Market,Canada
32,Einstein-Haus,Switzerland
33,El Squid Roe,Mexico
34,Erasmus Corner,Portugal
35,Fame,Bulgaria
36,Filmstaden Soder
37,Galerie des Glaces,France
38,Garden of the Groves,Bahamas
39,Grand Canal Wharf,Ireland
40,Grote Markt,Netherlands
41,Haagse Bos,Netherlands
42,Hacienda,Mexico
43,Harischandra Ghat,India
44,HD Sport Center,Brazil
45,Hof van Liere,Belgium
46,Hulhumale' BBQ Beach,Maldives
47,Hulhumale' Main Road,Maldives
48,Jardin Botanico
49,Jeleni skok
50,Jernbanetorget,Norway
51,Kalibata XXI,Indonesia
52,Kavarna Tromostovje,Slovenian
53,Kitsilano Public Pool,Canada
54,Kornmarkt,Switzerland
55,Kungsholmstorg,Sweden
56,La Chilenita,Ecuador
57,La Muse,Romania
58,Largo do Carmo,Portugal
59,Limelight,Jamaica
60,Linko,Finland
61,Lisboa Story Centre,Portugal
62,Ljosanott
63,Lost Lagoon,Canada
64,Louisiane Brewhouse,Vietnam
65,Lovers Beach,Mexico
66,Lucaya Beach,Bahamas
67,Lux Golf Center,Luxembourg
68,Maa Kandu,Maldives
69,Maafannu Buru,Maldives
70,Maafushi Jetty,Maldives
71,Mal Artha Gading,Indonesia
72,Mandala,Mexico
73,Marex,Croatia
74,Maxine,Finland
75,Maybe Later,Cambodia
76,Meir,Belgium
77,MEO Arena,Portugal
78,Miniature World,Canada
79,MOJO,Romania
80,Monticulo,Bolivia
81,Monument Grand-Duchesse Charlotte,Luxembourg
82,Mulini beach,Croatia
83,Mulligan's,Ireland
84,Musee des beaux-arts de Montreal (MBAM)
85,Museet for Samtidskunst,Norway
86,Museo Inka,Peru
87,Muzeum Karlovy Vary,Czech
88,Mysore Palace,India
89,Nenea Iancu,Romania
90,Niagara Falls (American Side),Canada
91,Nikki Beach,Mexico
92,Noel,Greece
93,Norrmalmstorg,Sweden
94,Nybroplan,Sweden
95,O'Connell's,Ireland
96,Observation Deck,Canada
97,Ocheuteal Beach-Otres Beach,Cambodia
98,Oinoscent,Greece
99,Once Upon a Time Biblioteka,Bulgaria
100,Onda Restaurant,Norway
101,Orloj,Czech
102,Paradisbukta,Norway
103,Parc Jarry,Canada
104,Park Way,Colombia
105,Parque Ingles
106,Parque Las Cuadras,Ecuador
107,Parque Metropolitano Simon Bolivar
108,Parque Santa Ana,Ecuador
109,Pejaten Village,Indonesia
110,Phap Lam Pagoda,Vietnam
111,Pintxoteria Los Cojones,Finland
112,Pista Atletica Los Chasquis
113,Place Bockstael,Belgium
114,Place De L'etoile,Luxembourg
115,Place de la Cathedrale
116,Place Du Parc,Luxembourg
117,Place du Theatre,Luxembourg
118,Place l'Europe,Luxembourg
119,Playa El Medano
120,Plaza de Armas San Sebastian
121,Plaza de Santo Domingo,Ecuador
122,Plaza Limacpampa Grande,Peru
123,Plazoleta Espinar,Peru
124,Pluit Village XXI,Indonesia
125,Puerto Paraiso
126,Recreation Beach,Maldives
127,Redondel Jose Marti
128,Regency Theatre,Bahamas
129,Residenzschloss,Germany
130,Restaurant Yungay Viejo,Chile
131,Rovinj Harbor,Croatia
132,Sea Horse,Finland
133,Secret Lake,Cambodia
134,Sindicato,Chile
135,Sint-Baafsplein,Belgium
136,Site Oud Sint-Jan,Belgium
137,Skatepark Hollerich,Luxembourg
138,Soho,Bulgaria
139,Sol e Pesca,Portugal
140,Starling Farm Kampot Pepper,Cambodia
141,Strandslag 12,Netherlands
142,Stunning View,Cambodia
143,StureCompagniet,Sweden
144,Sua Academia,Brazil
145,Suikerrui,Belgium
146,Sunset Park,Maldives
147,Sunter Mall,Indonesia
148,Sureyya Opera House,Turkey
149,Suryauday Haveli Shivala Ghat,India
150,Sushibar + Wine,Finland
151,Swimming Pool @ Sheraton Maldives,Maldives
152,Sæmundur i Sparifotunum
153,Teatro Mayor Julio Mario Santo Domingo,Colombia
154,Tennis Spora,Luxembourg
155,Terra,Bolivia
156,Terrapin Point,Canada
157,The Circus,Finland
158,The Duke,Ireland
159,The Famine Memorial,Ireland
160,The Led Zephyr,Cambodia
161,Tinguely-Brunnen,Switzerland
162,Top One Academia,Brazil
163,Umbrella,Bulgaria
164,Vinpearl Cable Car,Vietnam
165,Vyhlidka Petra Velikeho
166,Whirlpool Rapids,Canada
167,Yavuz Sultan Selim Cami,Turkey
168,Ye Old Abbey Tavern,Ireland
169,Zona VIP - K Urban Beach,Portugal
170,Zuidpark _ Koning Albertpark
171,Государственный Кремлёвский дворец,Russia
172,Зала _Универсиада_ (Universiada Hall)
173,Измайловский кремль,Russia
174,Лубянская площадь,Russia
175,Мавзолей В. И. Ленина,Russia
176,Манежная площадь,Russia
177,Площадь Революции,Russia
178,Площадь у м. Третьяковская,Russia
179,Спортна София,Bulgaria
180,Стадион Раковски (Rakovski Stadium),Bulgaria
181,Тверская площадь,Russia
182,Триумфальная площадь,Russia
183,공묘와 국자감,China
184,구 식물원,Switzerland
185,국가대극원,China
186,국가도서관,Taiwan
187,긴카쿠지(은각사),Japan
188,까사 깔베뜨,Spain
189,나디스 재즈클럽,Turkey
190,나바스 거리,Spain
